timestamp,event,details,image_path
2025-11-13T13:28:06.533350,alarm,Fire (heuristic),detections\alarm_20251113_132806_520316.jpg
2025-11-13T13:28:06.752286,alarm,Fire (heuristic),detections\alarm_20251113_132806_740735.jpg
2025-11-13T13:28:06.974503,alarm,Fire (heuristic),detections\alarm_20251113_132806_960862.jpg
2025-11-13T13:28:06.990566,record_end,,detections\clip_20251113_132758.mp4
2025-11-13T13:28:07.224303,alarm,Fire (heuristic),detections\alarm_20251113_132807_210340.jpg
2025-11-13T13:28:07.230048,record_start,Fire (heuristic),detections\clip_20251113_132807.mp4
2025-11-13T13:28:07.445514,alarm,Fire (heuristic),detections\alarm_20251113_132807_431701.jpg
2025-11-13T13:28:07.702516,alarm,Fire (heuristic),detections\alarm_20251113_132807_688821.jpg
2025-11-13T13:28:08.062391,alarm,Fire (heuristic),detections\alarm_20251113_132808_047833.jpg
2025-11-13T13:28:08.370150,alarm,Fire (heuristic),detections\alarm_20251113_132808_356208.jpg
2025-11-13T13:28:08.639164,alarm,Fire (heuristic),detections\alarm_20251113_132808_622156.jpg
2025-11-13T13:28:08.936488,alarm,Fire (heuristic),detections\alarm_20251113_132808_923385.jpg
2025-11-13T13:28:09.182024,alarm,Fire (heuristic),detections\alarm_20251113_132809_170872.jpg
2025-11-13T13:28:09.414448,alarm,Fire (heuristic),detections\alarm_20251113_132809_399992.jpg
2025-11-13T13:28:09.648691,alarm,Fire (heuristic),detections\alarm_20251113_132809_636149.jpg
2025-11-13T13:28:09.859595,alarm,Fire (heuristic),detections\alarm_20251113_132809_848990.jpg
2025-11-13T13:28:10.056214,alarm,Fire (heuristic),detections\alarm_20251113_132810_043812.jpg
2025-11-13T13:28:10.238547,alarm,Fire (heuristic),detections\alarm_20251113_132810_227789.jpg
