timestamp,cam,event,class,conf,box,track_id,image,clip
2025-11-13T17:21:30.533122,0,detect,person,0.899,"[114, 153, 520, 479]",0,,
2025-11-13T17:21:30.640789,0,detect,person,0.912,"[114, 153, 519, 479]",0,,
2025-11-13T17:21:30.757835,0,detect,person,0.909,"[114, 153, 520, 479]",0,,
2025-11-13T17:21:30.844653,0,detect,person,0.887,"[113, 154, 520, 479]",0,,
2025-11-13T17:21:30.941830,0,detect,person,0.917,"[113, 153, 521, 479]",0,,
2025-11-13T17:21:31.060983,0,detect,person,0.916,"[113, 152, 521, 479]",0,,
2025-11-13T17:21:31.165406,0,detect,person,0.909,"[114, 155, 520, 479]",0,,
2025-11-13T17:21:31.247406,0,detect,person,0.911,"[115, 153, 520, 479]",0,,
2025-11-13T17:21:31.362949,0,detect,person,0.869,"[113, 152, 519, 479]",0,,
2025-11-13T17:21:31.453472,0,detect,person,0.908,"[113, 152, 519, 479]",0,,
2025-11-13T17:21:31.544227,0,detect,person,0.917,"[114, 153, 520, 479]",0,,
2025-11-13T17:21:31.763936,0,detect,person,0.9,"[113, 155, 520, 479]",0,,
2025-11-13T17:21:31.853972,0,detect,person,0.91,"[114, 153, 521, 479]",0,,
2025-11-13T17:21:31.956143,0,detect,person,0.899,"[113, 153, 520, 479]",0,,
2025-11-13T17:21:32.056728,0,detect,person,0.907,"[113, 153, 520, 479]",0,,
2025-11-13T17:21:32.155438,0,detect,person,0.912,"[115, 153, 520, 479]",0,,
2025-11-13T17:21:32.266906,0,detect,person,0.911,"[114, 153, 520, 479]",0,,
2025-11-13T17:21:32.344469,0,detect,person,0.905,"[114, 153, 520, 479]",0,,
2025-11-13T17:21:32.432608,0,detect,person,0.904,"[115, 152, 519, 479]",0,,
2025-11-13T17:21:32.556204,0,detect,person,0.912,"[115, 152, 520, 479]",0,,
2025-11-13T17:21:32.655041,0,detect,person,0.908,"[114, 152, 519, 479]",0,,
2025-11-13T17:21:32.761122,0,detect,person,0.875,"[113, 155, 518, 479]",0,,
2025-11-13T17:21:32.858220,0,detect,person,0.911,"[114, 153, 519, 479]",0,,
2025-11-13T17:21:32.959444,0,detect,person,0.917,"[114, 153, 519, 479]",0,,
2025-11-13T17:21:33.105868,0,detect,person,0.922,"[115, 153, 519, 479]",0,,
2025-11-13T17:21:33.205075,0,detect,person,0.925,"[115, 153, 519, 479]",0,,
2025-11-13T17:21:33.289908,0,detect,person,0.903,"[113, 154, 519, 479]",0,,
2025-11-13T17:21:33.388477,0,detect,person,0.921,"[115, 154, 519, 479]",0,,
2025-11-13T17:21:33.495521,0,detect,person,0.911,"[115, 153, 518, 479]",0,,
2025-11-13T17:21:33.604593,0,detect,person,0.895,"[116, 155, 518, 479]",0,,
2025-11-13T17:21:33.709825,0,detect,person,0.915,"[115, 153, 517, 479]",0,,
2025-11-13T17:21:33.791564,0,detect,person,0.909,"[116, 155, 518, 479]",0,,
2025-11-13T17:21:33.887485,0,detect,person,0.908,"[115, 154, 518, 479]",0,,
2025-11-13T17:21:34.006909,0,detect,person,0.902,"[116, 154, 518, 479]",0,,
2025-11-13T17:21:34.104533,0,detect,person,0.893,"[115, 154, 520, 479]",0,,
2025-11-13T17:21:34.191822,0,detect,person,0.909,"[115, 153, 518, 479]",0,,
2025-11-13T17:21:34.288866,0,detect,person,0.918,"[115, 154, 519, 479]",0,,
2025-11-13T17:21:34.400981,0,detect,person,0.819,"[111, 155, 516, 479]",0,,
2025-11-13T17:21:34.487143,0,detect,person,0.877,"[113, 152, 518, 479]",0,,
2025-11-13T17:21:34.577584,0,detect,person,0.575,"[116, 155, 518, 479]",0,,
2025-11-13T17:21:34.802491,0,detect,person,0.864,"[116, 154, 519, 479]",0,,
2025-11-13T17:21:34.893899,0,detect,person,0.64,"[114, 158, 524, 479]",0,,
2025-11-13T17:21:34.987149,0,detect,person,0.812,"[113, 156, 533, 479]",0,,
2025-11-13T17:21:35.087447,0,detect,person,0.889,"[113, 158, 532, 479]",0,,
2025-11-13T17:21:35.362823,0,detect,person,0.839,"[114, 155, 524, 479]",0,,
2025-11-13T17:21:35.455072,0,detect,person,0.782,"[116, 159, 532, 479]",0,,
2025-11-13T17:21:35.589869,0,detect,person,0.762,"[118, 158, 535, 479]",0,,
2025-11-13T17:21:35.702954,0,detect,person,0.891,"[119, 156, 534, 479]",0,,
2025-11-13T17:21:35.801807,0,detect,person,0.871,"[117, 157, 533, 479]",0,,
2025-11-13T17:21:35.899830,0,detect,person,0.84,"[117, 157, 531, 479]",0,,
2025-11-13T17:21:35.997755,0,detect,person,0.787,"[116, 156, 524, 479]",0,,
2025-11-13T17:21:36.099104,0,detect,person,0.775,"[119, 153, 522, 479]",0,,
2025-11-13T17:21:36.231014,0,detect,person,0.867,"[117, 158, 520, 479]",0,,
2025-11-13T17:21:36.338361,0,detect,person,0.846,"[117, 155, 518, 479]",0,,
2025-11-13T17:21:36.431511,0,detect,person,0.648,"[117, 160, 433, 479]",0,,
2025-11-13T17:21:36.436521,0,detect,person,0.371,"[380, 321, 517, 479]",1,,
2025-11-13T17:21:36.546453,0,detect,person,0.794,"[115, 159, 514, 479]",0,,
2025-11-13T17:21:36.663706,0,detect,person,0.832,"[115, 161, 518, 479]",0,,
2025-11-13T17:21:36.780550,0,detect,person,0.796,"[114, 158, 519, 479]",0,,
2025-11-13T17:21:36.890020,0,detect,person,0.867,"[117, 160, 518, 479]",0,,
2025-11-13T17:21:37.014869,0,detect,person,0.863,"[115, 159, 517, 479]",0,,
2025-11-13T17:21:37.113835,0,detect,person,0.836,"[118, 157, 522, 479]",0,,
2025-11-13T17:21:37.245632,0,detect,person,0.897,"[119, 158, 519, 479]",0,,
2025-11-13T17:21:37.418884,0,detect,person,0.894,"[117, 157, 525, 479]",0,,
2025-11-13T17:21:37.534435,0,detect,person,0.848,"[112, 160, 518, 479]",0,,
2025-11-13T17:21:37.648138,0,detect,person,0.704,"[105, 162, 515, 479]",0,,
2025-11-13T17:21:37.874015,0,detect,person,0.499,"[100, 164, 511, 479]",0,,
2025-11-13T17:21:37.977709,0,detect,person,0.482,"[104, 166, 500, 479]",0,,
2025-11-13T17:21:38.078092,0,detect,person,0.392,"[17, 164, 490, 479]",0,,
2025-11-13T17:21:38.179692,0,detect,person,0.738,"[3, 158, 479, 479]",0,,
2025-11-13T17:21:38.266681,0,detect,person,0.814,"[0, 150, 474, 479]",0,,
2025-11-13T17:21:38.368415,0,detect,person,0.758,"[0, 149, 476, 479]",0,,
2025-11-13T17:21:38.464163,0,detect,person,0.836,"[0, 147, 477, 479]",0,,
2025-11-13T17:21:38.574190,0,detect,person,0.88,"[0, 149, 474, 479]",0,,
